,Inputs,Outputs,Output Class,Inputs 0,Inputs 1,Inputs 2,Inputs 3,Inputs 4
2950,"[4, 1, 4, 2, 10]",5.0,10,4,1,4,2,10
2951,"[10, 7, 7, 8, 2]",1.0,1,10,7,7,8,2
2952,"[2, 1, 3, 10, 1]",0.5,0,2,1,3,10,1
2953,"[10, 6, 3, 6, 2]",1.0,1,10,6,3,6,2
2954,"[2, 1, 5, 9, 5]",2.5,4,2,1,5,9,5
2955,"[8, 10, 8, 9, 8]",4.0,7,8,10,8,9,8
2956,"[4, 9, 2, 7, 4]",2.0,3,4,9,2,7,4
2957,"[3, 3, 3, 9, 4]",2.0,3,3,3,3,9,4
2958,"[9, 2, 8, 4, 3]",1.5,2,9,2,8,4,3
2959,"[8, 4, 8, 10, 9]",4.5,8,8,4,8,10,9
2960,"[5, 3, 6, 3, 3]",1.5,2,5,3,6,3,3
2961,"[10, 9, 1, 5, 2]",1.0,1,10,9,1,5,2
2962,"[8, 1, 5, 9, 9]",4.5,8,8,1,5,9,9
2963,"[6, 9, 2, 7, 8]",4.0,7,6,9,2,7,8
2964,"[7, 2, 8, 9, 5]",2.5,4,7,2,8,9,5
2965,"[9, 6, 2, 4, 6]",3.0,5,9,6,2,4,6
2966,"[9, 3, 2, 10, 8]",4.0,7,9,3,2,10,8
2967,"[10, 6, 6, 8, 2]",1.0,1,10,6,6,8,2
2968,"[7, 2, 8, 1, 3]",1.5,2,7,2,8,1,3
2969,"[2, 3, 8, 3, 7]",3.5,6,2,3,8,3,7
2970,"[9, 7, 1, 9, 9]",4.5,8,9,7,1,9,9
2971,"[1, 2, 9, 1, 9]",4.5,8,1,2,9,1,9
2972,"[2, 4, 5, 9, 5]",2.5,4,2,4,5,9,5
2973,"[4, 6, 4, 4, 5]",2.5,4,4,6,4,4,5
2974,"[6, 6, 4, 6, 8]",4.0,7,6,6,4,6,8
2975,"[4, 8, 1, 3, 1]",0.5,0,4,8,1,3,1
2976,"[5, 3, 7, 6, 2]",1.0,1,5,3,7,6,2
2977,"[2, 3, 2, 1, 1]",0.5,0,2,3,2,1,1
2978,"[8, 3, 1, 9, 9]",4.5,8,8,3,1,9,9
2979,"[10, 10, 6, 1, 1]",0.5,0,10,10,6,1,1
2980,"[7, 8, 6, 2, 10]",5.0,10,7,8,6,2,10
2981,"[8, 6, 7, 8, 8]",4.0,7,8,6,7,8,8
2982,"[7, 10, 6, 6, 9]",4.5,8,7,10,6,6,9
2983,"[8, 3, 3, 2, 10]",5.0,10,8,3,3,2,10
2984,"[10, 5, 1, 9, 4]",2.0,3,10,5,1,9,4
2985,"[5, 3, 5, 7, 9]",4.5,8,5,3,5,7,9
2986,"[5, 5, 7, 1, 7]",3.5,6,5,5,7,1,7
2987,"[10, 6, 2, 7, 6]",3.0,5,10,6,2,7,6
2988,"[9, 6, 10, 5, 4]",2.0,3,9,6,10,5,4
2989,"[5, 6, 10, 5, 10]",5.0,10,5,6,10,5,10
2990,"[5, 10, 9, 8, 2]",1.0,1,5,10,9,8,2
2991,"[3, 2, 9, 2, 3]",1.5,2,3,2,9,2,3
2992,"[7, 2, 8, 1, 4]",2.0,3,7,2,8,1,4
2993,"[2, 4, 1, 8, 5]",2.5,4,2,4,1,8,5
2994,"[8, 4, 5, 9, 8]",4.0,7,8,4,5,9,8
2995,"[9, 7, 4, 9, 6]",3.0,5,9,7,4,9,6
2996,"[5, 3, 9, 7, 6]",3.0,5,5,3,9,7,6
2997,"[2, 10, 2, 1, 1]",0.5,0,2,10,2,1,1
2998,"[5, 1, 6, 2, 4]",2.0,3,5,1,6,2,4
2999,"[8, 4, 6, 1, 6]",3.0,5,8,4,6,1,6
3000,"[8, 8, 5, 10, 9]",4.5,8,8,8,5,10,9
3001,"[2, 8, 4, 7, 7]",3.5,6,2,8,4,7,7
3002,"[1, 2, 6, 9, 10]",5.0,10,1,2,6,9,10
3003,"[1, 7, 6, 3, 7]",3.5,6,1,7,6,3,7
3004,"[4, 6, 10, 7, 7]",3.5,6,4,6,10,7,7
3005,"[8, 7, 10, 8, 7]",3.5,6,8,7,10,8,7
3006,"[1, 6, 3, 5, 3]",1.5,2,1,6,3,5,3
3007,"[3, 9, 10, 4, 7]",3.5,6,3,9,10,4,7
3008,"[7, 7, 3, 9, 6]",3.0,5,7,7,3,9,6
3009,"[9, 10, 4, 8, 7]",3.5,6,9,10,4,8,7
3010,"[2, 4, 9, 8, 9]",4.5,8,2,4,9,8,9
3011,"[3, 10, 7, 7, 6]",3.0,5,3,10,7,7,6
3012,"[1, 8, 4, 8, 10]",5.0,10,1,8,4,8,10
3013,"[6, 10, 8, 5, 8]",4.0,7,6,10,8,5,8
3014,"[1, 1, 5, 9, 4]",2.0,3,1,1,5,9,4
3015,"[10, 10, 7, 6, 1]",0.5,0,10,10,7,6,1
3016,"[1, 6, 1, 4, 4]",2.0,3,1,6,1,4,4
3017,"[10, 1, 7, 3, 5]",2.5,4,10,1,7,3,5
3018,"[5, 2, 9, 6, 8]",4.0,7,5,2,9,6,8
3019,"[10, 9, 7, 5, 9]",4.5,8,10,9,7,5,9
3020,"[6, 7, 10, 2, 3]",1.5,2,6,7,10,2,3
3021,"[2, 3, 7, 9, 9]",4.5,8,2,3,7,9,9
3022,"[1, 10, 10, 5, 7]",3.5,6,1,10,10,5,7
3023,"[3, 1, 3, 7, 9]",4.5,8,3,1,3,7,9
3024,"[6, 9, 9, 9, 10]",5.0,10,6,9,9,9,10
3025,"[5, 9, 1, 6, 4]",2.0,3,5,9,1,6,4
3026,"[7, 5, 9, 9, 4]",2.0,3,7,5,9,9,4
3027,"[3, 7, 3, 6, 7]",3.5,6,3,7,3,6,7
3028,"[10, 10, 8, 1, 2]",1.0,1,10,10,8,1,2
3029,"[2, 10, 6, 1, 5]",2.5,4,2,10,6,1,5
3030,"[9, 7, 1, 5, 4]",2.0,3,9,7,1,5,4
3031,"[10, 2, 6, 5, 9]",4.5,8,10,2,6,5,9
3032,"[2, 4, 9, 4, 2]",1.0,1,2,4,9,4,2
3033,"[5, 2, 9, 6, 3]",1.5,2,5,2,9,6,3
3034,"[7, 2, 8, 3, 4]",2.0,3,7,2,8,3,4
3035,"[4, 6, 7, 7, 10]",5.0,10,4,6,7,7,10
3036,"[6, 10, 3, 2, 1]",0.5,0,6,10,3,2,1
3037,"[7, 1, 5, 6, 6]",3.0,5,7,1,5,6,6
3038,"[5, 4, 8, 9, 7]",3.5,6,5,4,8,9,7
3039,"[5, 10, 8, 9, 6]",3.0,5,5,10,8,9,6
3040,"[5, 8, 1, 1, 3]",1.5,2,5,8,1,1,3
3041,"[6, 3, 10, 2, 6]",3.0,5,6,3,10,2,6
3042,"[4, 6, 6, 1, 10]",5.0,10,4,6,6,1,10
3043,"[9, 10, 3, 5, 6]",3.0,5,9,10,3,5,6
3044,"[6, 4, 10, 10, 6]",3.0,5,6,4,10,10,6
3045,"[10, 2, 3, 6, 2]",1.0,1,10,2,3,6,2
3046,"[8, 5, 3, 8, 7]",3.5,6,8,5,3,8,7
3047,"[9, 10, 5, 10, 7]",3.5,6,9,10,5,10,7
3048,"[5, 8, 7, 9, 6]",3.0,5,5,8,7,9,6
3049,"[10, 1, 10, 9, 2]",1.0,1,10,1,10,9,2
3050,"[2, 10, 9, 7, 7]",3.5,6,2,10,9,7,7
3051,"[4, 1, 5, 8, 8]",4.0,7,4,1,5,8,8
3052,"[9, 7, 10, 4, 7]",3.5,6,9,7,10,4,7
3053,"[10, 1, 10, 8, 5]",2.5,4,10,1,10,8,5
3054,"[4, 7, 3, 6, 9]",4.5,8,4,7,3,6,9
3055,"[1, 2, 10, 7, 8]",4.0,7,1,2,10,7,8
3056,"[8, 2, 7, 9, 6]",3.0,5,8,2,7,9,6
3057,"[5, 9, 6, 4, 1]",0.5,0,5,9,6,4,1
3058,"[1, 8, 10, 6, 4]",2.0,3,1,8,10,6,4
3059,"[7, 9, 8, 2, 9]",4.5,8,7,9,8,2,9
3060,"[5, 8, 3, 4, 8]",4.0,7,5,8,3,4,8
3061,"[2, 9, 9, 10, 7]",3.5,6,2,9,9,10,7
3062,"[9, 2, 8, 7, 7]",3.5,6,9,2,8,7,7
3063,"[10, 4, 4, 8, 3]",1.5,2,10,4,4,8,3
3064,"[8, 8, 7, 5, 7]",3.5,6,8,8,7,5,7
3065,"[3, 9, 6, 10, 1]",0.5,0,3,9,6,10,1
3066,"[6, 1, 8, 9, 10]",5.0,10,6,1,8,9,10
3067,"[1, 4, 9, 3, 5]",2.5,4,1,4,9,3,5
3068,"[8, 1, 3, 6, 7]",3.5,6,8,1,3,6,7
3069,"[7, 2, 10, 8, 7]",3.5,6,7,2,10,8,7
3070,"[6, 10, 5, 1, 1]",0.5,0,6,10,5,1,1
3071,"[7, 3, 3, 2, 8]",4.0,7,7,3,3,2,8
3072,"[1, 1, 1, 8, 3]",1.5,2,1,1,1,8,3
3073,"[2, 10, 4, 8, 3]",1.5,2,2,10,4,8,3
3074,"[2, 2, 3, 3, 3]",1.5,2,2,2,3,3,3
3075,"[3, 2, 6, 8, 9]",4.5,8,3,2,6,8,9
3076,"[6, 1, 8, 6, 10]",5.0,10,6,1,8,6,10
3077,"[2, 3, 7, 3, 7]",3.5,6,2,3,7,3,7
3078,"[10, 1, 7, 8, 10]",5.0,10,10,1,7,8,10
3079,"[10, 2, 1, 1, 4]",2.0,3,10,2,1,1,4
3080,"[9, 10, 10, 6, 1]",0.5,0,9,10,10,6,1
3081,"[5, 8, 8, 1, 10]",5.0,10,5,8,8,1,10
3082,"[8, 10, 8, 7, 7]",3.5,6,8,10,8,7,7
3083,"[2, 9, 10, 10, 6]",3.0,5,2,9,10,10,6
3084,"[8, 8, 2, 7, 7]",3.5,6,8,8,2,7,7
3085,"[2, 9, 6, 9, 7]",3.5,6,2,9,6,9,7
3086,"[10, 6, 1, 9, 2]",1.0,1,10,6,1,9,2
3087,"[6, 9, 5, 1, 5]",2.5,4,6,9,5,1,5
3088,"[7, 1, 4, 7, 7]",3.5,6,7,1,4,7,7
3089,"[4, 2, 7, 7, 3]",1.5,2,4,2,7,7,3
3090,"[3, 5, 5, 10, 3]",1.5,2,3,5,5,10,3
3091,"[2, 5, 9, 1, 1]",0.5,0,2,5,9,1,1
3092,"[4, 4, 4, 6, 2]",1.0,1,4,4,4,6,2
3093,"[4, 4, 3, 8, 6]",3.0,5,4,4,3,8,6
3094,"[9, 7, 5, 10, 6]",3.0,5,9,7,5,10,6
3095,"[3, 10, 9, 4, 9]",4.5,8,3,10,9,4,9
3096,"[1, 1, 4, 10, 8]",4.0,7,1,1,4,10,8
3097,"[6, 4, 7, 1, 7]",3.5,6,6,4,7,1,7
3098,"[2, 9, 4, 6, 6]",3.0,5,2,9,4,6,6
3099,"[5, 10, 9, 1, 4]",2.0,3,5,10,9,1,4
3100,"[4, 8, 7, 9, 9]",4.5,8,4,8,7,9,9
3101,"[8, 1, 7, 7, 6]",3.0,5,8,1,7,7,6
3102,"[7, 7, 7, 9, 9]",4.5,8,7,7,7,9,9
3103,"[4, 5, 5, 6, 10]",5.0,10,4,5,5,6,10
3104,"[9, 3, 9, 9, 1]",0.5,0,9,3,9,9,1
3105,"[3, 6, 5, 3, 4]",2.0,3,3,6,5,3,4
3106,"[2, 9, 3, 6, 10]",5.0,10,2,9,3,6,10
3107,"[3, 5, 2, 7, 8]",4.0,7,3,5,2,7,8
3108,"[6, 10, 4, 8, 6]",3.0,5,6,10,4,8,6
3109,"[9, 5, 4, 10, 9]",4.5,8,9,5,4,10,9
3110,"[10, 4, 1, 7, 3]",1.5,2,10,4,1,7,3
3111,"[2, 9, 8, 5, 3]",1.5,2,2,9,8,5,3
3112,"[5, 4, 1, 9, 9]",4.5,8,5,4,1,9,9
3113,"[3, 9, 9, 1, 1]",0.5,0,3,9,9,1,1
3114,"[6, 1, 9, 10, 6]",3.0,5,6,1,9,10,6
3115,"[4, 8, 1, 6, 10]",5.0,10,4,8,1,6,10
3116,"[8, 4, 1, 4, 2]",1.0,1,8,4,1,4,2
3117,"[9, 8, 9, 2, 4]",2.0,3,9,8,9,2,4
3118,"[10, 2, 5, 10, 5]",2.5,4,10,2,5,10,5
3119,"[5, 6, 4, 8, 9]",4.5,8,5,6,4,8,9
3120,"[5, 6, 1, 10, 4]",2.0,3,5,6,1,10,4
3121,"[9, 1, 2, 6, 8]",4.0,7,9,1,2,6,8
3122,"[5, 7, 2, 6, 4]",2.0,3,5,7,2,6,4
3123,"[10, 1, 5, 9, 8]",4.0,7,10,1,5,9,8
3124,"[1, 9, 6, 6, 9]",4.5,8,1,9,6,6,9
3125,"[2, 3, 1, 5, 3]",1.5,2,2,3,1,5,3
3126,"[6, 6, 8, 2, 10]",5.0,10,6,6,8,2,10
3127,"[5, 7, 10, 8, 1]",0.5,0,5,7,10,8,1
3128,"[5, 10, 10, 5, 1]",0.5,0,5,10,10,5,1
3129,"[7, 5, 4, 6, 5]",2.5,4,7,5,4,6,5
3130,"[10, 5, 2, 3, 7]",3.5,6,10,5,2,3,7
3131,"[9, 10, 5, 4, 6]",3.0,5,9,10,5,4,6
3132,"[2, 9, 10, 9, 3]",1.5,2,2,9,10,9,3
3133,"[4, 7, 8, 10, 5]",2.5,4,4,7,8,10,5
3134,"[9, 4, 8, 2, 6]",3.0,5,9,4,8,2,6
3135,"[5, 10, 9, 8, 6]",3.0,5,5,10,9,8,6
3136,"[8, 7, 4, 9, 9]",4.5,8,8,7,4,9,9
3137,"[3, 4, 7, 5, 6]",3.0,5,3,4,7,5,6
3138,"[1, 3, 8, 1, 10]",5.0,10,1,3,8,1,10
3139,"[6, 3, 6, 5, 7]",3.5,6,6,3,6,5,7
3140,"[7, 1, 3, 1, 9]",4.5,8,7,1,3,1,9
3141,"[4, 7, 3, 8, 9]",4.5,8,4,7,3,8,9
3142,"[5, 8, 8, 10, 1]",0.5,0,5,8,8,10,1
3143,"[7, 9, 2, 3, 4]",2.0,3,7,9,2,3,4
3144,"[4, 9, 3, 2, 5]",2.5,4,4,9,3,2,5
3145,"[1, 6, 4, 10, 7]",3.5,6,1,6,4,10,7
3146,"[6, 8, 6, 6, 9]",4.5,8,6,8,6,6,9
3147,"[3, 9, 9, 2, 4]",2.0,3,3,9,9,2,4
3148,"[2, 3, 1, 6, 9]",4.5,8,2,3,1,6,9
3149,"[5, 6, 9, 2, 6]",3.0,5,5,6,9,2,6
3150,"[8, 2, 10, 9, 2]",1.0,1,8,2,10,9,2
3151,"[6, 6, 10, 10, 5]",2.5,4,6,6,10,10,5
3152,"[9, 9, 9, 9, 7]",3.5,6,9,9,9,9,7
3153,"[7, 2, 2, 1, 8]",4.0,7,7,2,2,1,8
3154,"[10, 1, 1, 8, 2]",1.0,1,10,1,1,8,2
3155,"[1, 7, 6, 1, 10]",5.0,10,1,7,6,1,10
3156,"[5, 4, 3, 9, 8]",4.0,7,5,4,3,9,8
3157,"[1, 8, 7, 9, 10]",5.0,10,1,8,7,9,10
3158,"[1, 9, 2, 4, 8]",4.0,7,1,9,2,4,8
3159,"[7, 6, 3, 8, 8]",4.0,7,7,6,3,8,8
3160,"[8, 7, 1, 3, 10]",5.0,10,8,7,1,3,10
3161,"[5, 2, 9, 6, 4]",2.0,3,5,2,9,6,4
3162,"[3, 10, 1, 5, 9]",4.5,8,3,10,1,5,9
3163,"[6, 5, 7, 9, 8]",4.0,7,6,5,7,9,8
3164,"[6, 5, 3, 2, 3]",1.5,2,6,5,3,2,3
3165,"[6, 9, 1, 2, 2]",1.0,1,6,9,1,2,2
3166,"[7, 8, 5, 10, 9]",4.5,8,7,8,5,10,9
3167,"[3, 8, 4, 8, 2]",1.0,1,3,8,4,8,2
3168,"[3, 8, 8, 2, 1]",0.5,0,3,8,8,2,1
3169,"[4, 1, 3, 1, 7]",3.5,6,4,1,3,1,7
3170,"[6, 1, 4, 3, 9]",4.5,8,6,1,4,3,9
3171,"[6, 8, 8, 6, 1]",0.5,0,6,8,8,6,1
3172,"[8, 7, 5, 7, 6]",3.0,5,8,7,5,7,6
3173,"[4, 8, 4, 5, 7]",3.5,6,4,8,4,5,7
3174,"[5, 6, 5, 4, 4]",2.0,3,5,6,5,4,4
3175,"[7, 1, 6, 10, 7]",3.5,6,7,1,6,10,7
3176,"[7, 6, 8, 7, 3]",1.5,2,7,6,8,7,3
3177,"[1, 6, 10, 7, 3]",1.5,2,1,6,10,7,3
3178,"[9, 1, 1, 9, 7]",3.5,6,9,1,1,9,7
3179,"[7, 9, 4, 9, 9]",4.5,8,7,9,4,9,9
3180,"[3, 8, 9, 9, 6]",3.0,5,3,8,9,9,6
3181,"[2, 6, 6, 7, 1]",0.5,0,2,6,6,7,1
3182,"[6, 6, 1, 5, 5]",2.5,4,6,6,1,5,5
3183,"[9, 9, 6, 5, 1]",0.5,0,9,9,6,5,1
3184,"[8, 6, 1, 1, 3]",1.5,2,8,6,1,1,3
3185,"[2, 10, 9, 2, 10]",5.0,10,2,10,9,2,10
3186,"[1, 6, 5, 3, 5]",2.5,4,1,6,5,3,5
3187,"[5, 6, 5, 7, 7]",3.5,6,5,6,5,7,7
3188,"[1, 1, 8, 3, 5]",2.5,4,1,1,8,3,5
3189,"[10, 8, 7, 8, 6]",3.0,5,10,8,7,8,6
3190,"[10, 4, 4, 1, 3]",1.5,2,10,4,4,1,3
3191,"[1, 3, 9, 2, 4]",2.0,3,1,3,9,2,4
3192,"[10, 3, 10, 6, 9]",4.5,8,10,3,10,6,9
3193,"[6, 10, 3, 8, 2]",1.0,1,6,10,3,8,2
3194,"[9, 4, 5, 5, 10]",5.0,10,9,4,5,5,10
3195,"[3, 9, 5, 3, 1]",0.5,0,3,9,5,3,1
3196,"[7, 7, 1, 4, 6]",3.0,5,7,7,1,4,6
3197,"[4, 4, 8, 6, 2]",1.0,1,4,4,8,6,2
3198,"[5, 6, 1, 4, 2]",1.0,1,5,6,1,4,2
3199,"[1, 9, 4, 4, 9]",4.5,8,1,9,4,4,9
3200,"[1, 1, 6, 4, 4]",2.0,3,1,1,6,4,4
3201,"[6, 3, 9, 4, 1]",0.5,0,6,3,9,4,1
3202,"[10, 6, 5, 7, 2]",1.0,1,10,6,5,7,2
3203,"[8, 6, 5, 6, 9]",4.5,8,8,6,5,6,9
3204,"[5, 4, 10, 7, 4]",2.0,3,5,4,10,7,4
3205,"[8, 10, 6, 4, 6]",3.0,5,8,10,6,4,6
3206,"[7, 6, 5, 6, 5]",2.5,4,7,6,5,6,5
3207,"[7, 4, 9, 1, 8]",4.0,7,7,4,9,1,8
3208,"[7, 3, 10, 6, 10]",5.0,10,7,3,10,6,10
3209,"[4, 2, 4, 9, 3]",1.5,2,4,2,4,9,3
3210,"[6, 9, 2, 6, 3]",1.5,2,6,9,2,6,3
3211,"[7, 8, 2, 8, 2]",1.0,1,7,8,2,8,2
3212,"[4, 3, 3, 1, 8]",4.0,7,4,3,3,1,8
3213,"[9, 5, 9, 3, 4]",2.0,3,9,5,9,3,4
3214,"[9, 4, 10, 1, 1]",0.5,0,9,4,10,1,1
3215,"[8, 5, 3, 5, 5]",2.5,4,8,5,3,5,5
3216,"[6, 3, 6, 6, 9]",4.5,8,6,3,6,6,9
3217,"[5, 10, 7, 3, 1]",0.5,0,5,10,7,3,1
3218,"[2, 7, 9, 9, 8]",4.0,7,2,7,9,9,8
3219,"[6, 2, 3, 5, 1]",0.5,0,6,2,3,5,1
3220,"[3, 1, 1, 6, 8]",4.0,7,3,1,1,6,8
3221,"[7, 10, 8, 2, 7]",3.5,6,7,10,8,2,7
3222,"[10, 2, 1, 4, 1]",0.5,0,10,2,1,4,1
3223,"[10, 8, 7, 1, 9]",4.5,8,10,8,7,1,9
3224,"[1, 7, 5, 5, 6]",3.0,5,1,7,5,5,6
3225,"[6, 2, 8, 7, 7]",3.5,6,6,2,8,7,7
3226,"[9, 8, 6, 8, 8]",4.0,7,9,8,6,8,8
3227,"[9, 5, 9, 1, 1]",0.5,0,9,5,9,1,1
3228,"[8, 4, 9, 9, 6]",3.0,5,8,4,9,9,6
3229,"[7, 10, 10, 5, 1]",0.5,0,7,10,10,5,1
3230,"[1, 1, 9, 5, 8]",4.0,7,1,1,9,5,8
3231,"[8, 2, 6, 7, 10]",5.0,10,8,2,6,7,10
3232,"[10, 6, 6, 4, 3]",1.5,2,10,6,6,4,3
3233,"[7, 2, 10, 2, 6]",3.0,5,7,2,10,2,6
3234,"[9, 7, 10, 3, 8]",4.0,7,9,7,10,3,8
3235,"[5, 1, 3, 4, 4]",2.0,3,5,1,3,4,4
3236,"[8, 7, 6, 7, 6]",3.0,5,8,7,6,7,6
3237,"[8, 4, 7, 6, 5]",2.5,4,8,4,7,6,5
3238,"[6, 6, 9, 2, 3]",1.5,2,6,6,9,2,3
3239,"[9, 9, 7, 7, 3]",1.5,2,9,9,7,7,3
3240,"[2, 4, 10, 2, 8]",4.0,7,2,4,10,2,8
3241,"[10, 2, 8, 8, 3]",1.5,2,10,2,8,8,3
3242,"[3, 4, 2, 4, 3]",1.5,2,3,4,2,4,3
3243,"[9, 9, 5, 10, 4]",2.0,3,9,9,5,10,4
3244,"[7, 6, 7, 10, 1]",0.5,0,7,6,7,10,1
3245,"[9, 3, 9, 8, 8]",4.0,7,9,3,9,8,8
3246,"[2, 4, 3, 6, 9]",4.5,8,2,4,3,6,9
3247,"[1, 6, 3, 5, 10]",5.0,10,1,6,3,5,10
3248,"[5, 2, 9, 8, 4]",2.0,3,5,2,9,8,4
3249,"[1, 1, 7, 9, 3]",1.5,2,1,1,7,9,3
3250,"[3, 6, 5, 8, 7]",3.5,6,3,6,5,8,7
3251,"[1, 5, 2, 5, 3]",1.5,2,1,5,2,5,3
3252,"[7, 9, 1, 1, 9]",4.5,8,7,9,1,1,9
3253,"[1, 7, 10, 5, 5]",2.5,4,1,7,10,5,5
3254,"[10, 6, 4, 7, 9]",4.5,8,10,6,4,7,9
3255,"[3, 5, 7, 8, 7]",3.5,6,3,5,7,8,7
3256,"[1, 4, 2, 10, 8]",4.0,7,1,4,2,10,8
3257,"[2, 4, 4, 3, 2]",1.0,1,2,4,4,3,2
3258,"[6, 9, 6, 2, 6]",3.0,5,6,9,6,2,6
3259,"[9, 5, 8, 3, 1]",0.5,0,9,5,8,3,1
3260,"[10, 7, 7, 4, 7]",3.5,6,10,7,7,4,7
3261,"[2, 1, 10, 9, 7]",3.5,6,2,1,10,9,7
3262,"[5, 4, 2, 2, 2]",1.0,1,5,4,2,2,2
3263,"[10, 10, 3, 6, 5]",2.5,4,10,10,3,6,5
3264,"[7, 10, 5, 1, 5]",2.5,4,7,10,5,1,5
3265,"[1, 3, 3, 5, 4]",2.0,3,1,3,3,5,4
3266,"[7, 10, 6, 2, 1]",0.5,0,7,10,6,2,1
3267,"[2, 7, 3, 5, 1]",0.5,0,2,7,3,5,1
3268,"[9, 2, 9, 3, 7]",3.5,6,9,2,9,3,7
3269,"[8, 4, 2, 9, 9]",4.5,8,8,4,2,9,9
3270,"[9, 7, 3, 8, 3]",1.5,2,9,7,3,8,3
3271,"[1, 9, 6, 1, 6]",3.0,5,1,9,6,1,6
3272,"[7, 10, 2, 4, 2]",1.0,1,7,10,2,4,2
3273,"[2, 6, 3, 2, 4]",2.0,3,2,6,3,2,4
3274,"[10, 6, 8, 1, 9]",4.5,8,10,6,8,1,9
3275,"[8, 2, 2, 6, 6]",3.0,5,8,2,2,6,6
3276,"[6, 6, 1, 6, 8]",4.0,7,6,6,1,6,8
3277,"[10, 9, 8, 8, 8]",4.0,7,10,9,8,8,8
3278,"[2, 4, 10, 4, 8]",4.0,7,2,4,10,4,8
3279,"[3, 2, 2, 3, 3]",1.5,2,3,2,2,3,3
3280,"[6, 5, 10, 4, 6]",3.0,5,6,5,10,4,6
3281,"[7, 10, 7, 2, 5]",2.5,4,7,10,7,2,5
3282,"[4, 9, 5, 10, 4]",2.0,3,4,9,5,10,4
3283,"[10, 10, 1, 8, 6]",3.0,5,10,10,1,8,6
3284,"[6, 7, 3, 9, 4]",2.0,3,6,7,3,9,4
3285,"[2, 2, 1, 5, 2]",1.0,1,2,2,1,5,2
3286,"[3, 2, 8, 6, 6]",3.0,5,3,2,8,6,6
3287,"[2, 9, 6, 10, 3]",1.5,2,2,9,6,10,3
3288,"[4, 3, 4, 1, 5]",2.5,4,4,3,4,1,5
3289,"[3, 7, 3, 1, 6]",3.0,5,3,7,3,1,6
3290,"[5, 4, 5, 5, 2]",1.0,1,5,4,5,5,2
3291,"[6, 2, 9, 8, 4]",2.0,3,6,2,9,8,4
3292,"[4, 1, 10, 7, 7]",3.5,6,4,1,10,7,7
3293,"[8, 2, 5, 2, 2]",1.0,1,8,2,5,2,2
3294,"[6, 10, 10, 6, 4]",2.0,3,6,10,10,6,4
3295,"[5, 2, 5, 2, 8]",4.0,7,5,2,5,2,8
3296,"[7, 4, 8, 1, 3]",1.5,2,7,4,8,1,3
3297,"[7, 3, 2, 7, 1]",0.5,0,7,3,2,7,1
3298,"[3, 7, 8, 10, 2]",1.0,1,3,7,8,10,2
3299,"[5, 8, 4, 4, 3]",1.5,2,5,8,4,4,3
3300,"[2, 3, 4, 1, 5]",2.5,4,2,3,4,1,5
3301,"[1, 6, 9, 6, 6]",3.0,5,1,6,9,6,6
3302,"[2, 5, 2, 2, 1]",0.5,0,2,5,2,2,1
3303,"[1, 7, 4, 9, 4]",2.0,3,1,7,4,9,4
3304,"[4, 2, 8, 4, 1]",0.5,0,4,2,8,4,1
3305,"[6, 8, 9, 4, 9]",4.5,8,6,8,9,4,9
3306,"[3, 9, 7, 6, 5]",2.5,4,3,9,7,6,5
3307,"[8, 4, 3, 5, 1]",0.5,0,8,4,3,5,1
3308,"[8, 3, 9, 2, 2]",1.0,1,8,3,9,2,2
3309,"[9, 2, 1, 5, 1]",0.5,0,9,2,1,5,1
3310,"[9, 4, 3, 6, 1]",0.5,0,9,4,3,6,1
3311,"[9, 1, 3, 8, 10]",5.0,10,9,1,3,8,10
3312,"[2, 10, 5, 6, 2]",1.0,1,2,10,5,6,2
3313,"[10, 3, 8, 10, 5]",2.5,4,10,3,8,10,5
3314,"[10, 9, 1, 10, 3]",1.5,2,10,9,1,10,3
3315,"[5, 4, 9, 8, 6]",3.0,5,5,4,9,8,6
3316,"[3, 7, 4, 2, 9]",4.5,8,3,7,4,2,9
3317,"[2, 4, 8, 9, 2]",1.0,1,2,4,8,9,2
3318,"[6, 2, 6, 9, 6]",3.0,5,6,2,6,9,6
3319,"[1, 9, 6, 6, 7]",3.5,6,1,9,6,6,7
3320,"[5, 10, 6, 9, 6]",3.0,5,5,10,6,9,6
3321,"[6, 1, 7, 5, 8]",4.0,7,6,1,7,5,8
3322,"[1, 5, 8, 4, 6]",3.0,5,1,5,8,4,6
3323,"[3, 1, 4, 2, 3]",1.5,2,3,1,4,2,3
3324,"[2, 10, 4, 7, 1]",0.5,0,2,10,4,7,1
3325,"[10, 3, 2, 4, 6]",3.0,5,10,3,2,4,6
3326,"[8, 7, 6, 5, 3]",1.5,2,8,7,6,5,3
3327,"[3, 7, 3, 1, 5]",2.5,4,3,7,3,1,5
3328,"[4, 7, 1, 10, 2]",1.0,1,4,7,1,10,2
3329,"[10, 9, 10, 2, 6]",3.0,5,10,9,10,2,6
3330,"[9, 9, 3, 10, 9]",4.5,8,9,9,3,10,9
3331,"[6, 7, 8, 8, 9]",4.5,8,6,7,8,8,9
3332,"[4, 10, 9, 6, 4]",2.0,3,4,10,9,6,4
3333,"[5, 3, 1, 6, 8]",4.0,7,5,3,1,6,8
3334,"[1, 3, 4, 7, 1]",0.5,0,1,3,4,7,1
3335,"[5, 10, 9, 3, 3]",1.5,2,5,10,9,3,3
3336,"[9, 6, 3, 9, 3]",1.5,2,9,6,3,9,3
